Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
25-116_R1_001	25-116_R1_001_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	44276856.0	0.0	20-150	43.0	22.530765645691293	148.3770892178975	pass	pass	warn	pass	fail	fail	pass	warn	fail	warn	fail
25-116_R2_001	25-116_R2_001_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	44244978.0	0.0	20-150	43.0	21.94474320545179	144.6724774730366	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
25-117_R1_001	25-117_R1_001_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	38909607.0	0.0	20-150	45.0	23.51923851017858	148.2466094042019	pass	pass	warn	pass	fail	fail	pass	warn	fail	warn	fail
25-117_R2_001	25-117_R2_001_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	38875097.0	0.0	20-150	44.0	25.238832154517084	138.97766529045575	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
25-119_R1_001	25-119_R1_001_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	50999397.0	0.0	20-150	39.0	14.702581773394357	148.56943134053134	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	pass
25-119_R2_001	25-119_R2_001_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	50949266.0	0.0	20-150	38.0	14.839726796034396	146.7117293112721	pass	pass	fail	pass	fail	warn	pass	warn	fail	warn	pass
25-120_R1_001	25-120_R1_001_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	56223334.0	0.0	20-150	45.0	20.592835866532173	148.1094450393141	pass	pass	warn	pass	fail	fail	pass	warn	fail	warn	fail
25-120_R2_001	25-120_R2_001_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	56155884.0	0.0	20-150	45.0	21.22989437054886	140.13635472286396	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
25-167_R1_001	25-167_R1_001_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	37431547.0	0.0	20-150	43.0	20.039680366018434	148.2986910479548	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	fail
25-167_R2_001	25-167_R2_001_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	37368147.0	0.0	20-150	43.0	21.61362381045531	141.37903891782486	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
25-168_R1_001	25-168_R1_001_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	44104045.0	0.0	20-150	44.0	19.240272584014463	148.47869434651628	pass	pass	warn	pass	fail	fail	pass	warn	fail	warn	warn
25-168_R2_001	25-168_R2_001_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	44048339.0	0.0	20-150	44.0	19.66242285986927	145.1161269894876	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
25-169_R1_001	25-169_R1_001_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	57727302.0	0.0	20-150	47.0	17.931167705628013	147.7404918906482	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	fail
25-169_R2_001	25-169_R2_001_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	57572543.0	0.0	20-150	48.0	19.412429131759527	132.62857647264252	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
25-170_R1_001	25-170_R1_001_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	49733816.0	0.0	20-150	44.0	21.275851421176274	148.3968867782034	pass	pass	warn	pass	fail	fail	pass	warn	fail	warn	warn
25-170_R2_001	25-170_R2_001_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	49691616.0	0.0	20-150	44.0	20.81923876122404	145.02810113883194	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
25-171_R1_001	25-171_R1_001_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	47552888.0	0.0	20-150	41.0	17.28734269373468	148.55266203810797	pass	pass	warn	pass	fail	fail	pass	warn	fail	warn	pass
25-171_R2_001	25-171_R2_001_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	47504516.0	0.0	20-150	41.0	17.382980183780155	146.70266473191728	pass	pass	fail	pass	fail	fail	pass	warn	fail	warn	pass
25-172_R1_001	25-172_R1_001_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	37267566.0	0.0	20-150	44.0	24.310917130560235	148.14764288604198	pass	pass	warn	pass	fail	fail	pass	warn	fail	warn	fail
25-172_R2_001	25-172_R2_001_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	37162760.0	0.0	20-150	44.0	23.982895592572298	142.1528765086339	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
